species,lagoon_island_zone_summary,year,date,month
White-tailed Kite,1,1996,1996-09-30,Sep
Peregrine Falcon,1,1996,1996-09-30,Sep
Wandering Tattler,0,1996,1996-09-30,Sep
Black Turnstone,0,1996,1996-09-30,Sep
Least Sandpiper,0,1996,1996-09-30,Sep
Ring-billed Gull,0,1996,1996-09-30,Sep
Dowitcher sp.,0,1996,1996-09-30,Sep
Mallard,0,1996,1996-10-29,Oct
Redhead,0,1996,1996-10-29,Oct
Ruddy Duck,0,1996,1996-10-29,Oct
Pied-billed Grebe,0,1996,1996-10-29,Oct
Brown Pelican,0,1996,1996-10-29,Oct
Double-crested Cormorant,0,1996,1996-10-29,Oct
Great Blue Heron,0,1996,1996-10-29,Oct
Great Egret,0,1996,1996-10-29,Oct
Snowy Egret,0,1996,1996-10-29,Oct
Black-crowned Night Heron,0,1996,1996-10-29,Oct
Red-shouldered Hawk,1,1996,1996-10-29,Oct
American Coot,0,1996,1996-10-29,Oct
Long-billed Dowitcher,0,1996,1996-10-29,Oct
Parasitic Jaeger,0,1996,1996-10-29,Oct
Bonaparte's Gull,0,1996,1996-10-29,Oct
Western Gull,0,1996,1996-10-29,Oct
Common Tern,0,1996,1996-10-29,Oct
Forster's Tern,0,1996,1996-10-29,Oct
Anna's Hummingbird,1,1996,1996-10-29,Oct
Belted Kingfisher,2,1996,1996-10-29,Oct
Downy Woodpecker,2,1996,1996-10-29,Oct
Black Phoebe,2,1996,1996-10-29,Oct
Tropical Kingbird,1,1996,1996-10-29,Oct
American Crow,6,1996,1996-10-29,Oct
Bushtit,1,1996,1996-10-29,Oct
Bewick's Wren,1,1996,1996-10-29,Oct
California Towhee,3,1996,1996-10-29,Oct
White-crowned Sparrow,4,1996,1996-10-29,Oct
Golden-crowned Sparrow,3,1996,1996-10-29,Oct
House Finch,10,1996,1996-10-29,Oct
American Wigeon,0,1996,1996-11-15,Nov
Mallard,0,1996,1996-11-15,Nov
Ring-necked Duck,0,1996,1996-11-15,Nov
Lesser Scaup,0,1996,1996-11-15,Nov
Red-breasted Merganser,0,1996,1996-11-15,Nov
Red-breasted Merganser,0,1996,1996-11-15,Nov
Pied-billed Grebe,0,1996,1996-11-15,Nov
Horned Grebe,0,1996,1996-11-15,Nov
Eared Grebe,0,1996,1996-11-15,Nov
Western Grebe,0,1996,1996-11-15,Nov
Brown Pelican,0,1996,1996-11-15,Nov
Double-crested Cormorant,0,1996,1996-11-15,Nov
Great Blue Heron,0,1996,1996-11-15,Nov
Great Egret,0,1996,1996-11-15,Nov
Snowy Egret,0,1996,1996-11-15,Nov
Green Heron,0,1996,1996-11-15,Nov
Black-crowned Night Heron,0,1996,1996-11-15,Nov
White-faced Ibis,0,1996,1996-11-15,Nov
Red-shouldered Hawk,0,1996,1996-11-15,Nov
American Kestrel,0,1996,1996-11-15,Nov
American Coot,0,1996,1996-11-15,Nov
Black-bellied Plover,0,1996,1996-11-15,Nov
Killdeer,0,1996,1996-11-15,Nov
Greater Yellowlegs,0,1996,1996-11-15,Nov
Willet,0,1996,1996-11-15,Nov
Sanderling,0,1996,1996-11-15,Nov
Long-billed Dowitcher,0,1996,1996-11-15,Nov
Bonaparte's Gull,0,1996,1996-11-15,Nov
Ring-billed Gull,0,1996,1996-11-15,Nov
California Gull,0,1996,1996-11-15,Nov
Western Gull,0,1996,1996-11-15,Nov
Forster's Tern,0,1996,1996-11-15,Nov
Anna's Hummingbird,3,1996,1996-11-15,Nov
Belted Kingfisher,1,1996,1996-11-15,Nov
Downy Woodpecker,1,1996,1996-11-15,Nov
Black Phoebe,6,1996,1996-11-15,Nov
Say's Phoebe,1,1996,1996-11-15,Nov
Loggerhead Shrike,1,1996,1996-11-15,Nov
Western Scrub-Jay,1,1996,1996-11-15,Nov
American Crow,5,1996,1996-11-15,Nov
Bushtit,13,1996,1996-11-15,Nov
Bewick's Wren,1,1996,1996-11-15,Nov
House Wren,0,1996,1996-11-15,Nov
Ruby-crowned Kinglet,1,1996,1996-11-15,Nov
Hermit Thrush,0,1996,1996-11-15,Nov
Northern Mockingbird,1,1996,1996-11-15,Nov
Yellow-rumped Warbler,12,1996,1996-11-15,Nov
Townsend's Warbler,0,1996,1996-11-15,Nov
Common Yellowthroat,1,1996,1996-11-15,Nov
California Towhee,2,1996,1996-11-15,Nov
Song Sparrow,2,1996,1996-11-15,Nov
White-crowned Sparrow,6,1996,1996-11-15,Nov
House Finch,17,1996,1996-11-15,Nov
Gadwall,0,1996,1996-12-31,Dec
American Wigeon,0,1996,1996-12-31,Dec
Mallard,0,1996,1996-12-31,Dec
Ring-necked Duck,0,1996,1996-12-31,Dec
Bufflehead,0,1996,1996-12-31,Dec
Red-breasted Merganser,0,1996,1996-12-31,Dec
Ruddy Duck,0,1996,1996-12-31,Dec
Pacific Loon,0,1996,1996-12-31,Dec
Pied-billed Grebe,0,1996,1996-12-31,Dec
Horned Grebe,0,1996,1996-12-31,Dec
Eared Grebe,0,1996,1996-12-31,Dec
Western Grebe,0,1996,1996-12-31,Dec
Clark's Grebe,0,1996,1996-12-31,Dec
Brown Pelican,0,1996,1996-12-31,Dec
Brown Pelican,0,1996,1996-12-31,Dec
Double-crested Cormorant,0,1996,1996-12-31,Dec
Great Blue Heron,0,1996,1996-12-31,Dec
Great Egret,0,1996,1996-12-31,Dec
Snowy Egret,0,1996,1996-12-31,Dec
Green Heron,0,1996,1996-12-31,Dec
Black-crowned Night Heron,10,1996,1996-12-31,Dec
Red-tailed Hawk,2,1996,1996-12-31,Dec
American Kestrel,1,1996,1996-12-31,Dec
American Coot,0,1996,1996-12-31,Dec
Killdeer,0,1996,1996-12-31,Dec
Greater Yellowlegs,0,1996,1996-12-31,Dec
Long-billed Dowitcher,0,1996,1996-12-31,Dec
Bonaparte's Gull,0,1996,1996-12-31,Dec
Heermann's Gull,0,1996,1996-12-31,Dec
Ring-billed Gull,0,1996,1996-12-31,Dec
California Gull,0,1996,1996-12-31,Dec
Western Gull,0,1996,1996-12-31,Dec
Forster's Tern,0,1996,1996-12-31,Dec
Rock Dove,0,1996,1996-12-31,Dec
Anna's Hummingbird,0,1996,1996-12-31,Dec
Belted Kingfisher,0,1996,1996-12-31,Dec
Black Phoebe,5,1996,1996-12-31,Dec
Say's Phoebe,2,1996,1996-12-31,Dec
Loggerhead Shrike,1,1996,1996-12-31,Dec
Western Scrub-Jay,2,1996,1996-12-31,Dec
American Crow,29,1996,1996-12-31,Dec
Bushtit,10,1996,1996-12-31,Dec
Bewick's Wren,4,1996,1996-12-31,Dec
House Wren,1,1996,1996-12-31,Dec
Ruby-crowned Kinglet,4,1996,1996-12-31,Dec
Hermit Thrush,1,1996,1996-12-31,Dec
Northern Mockingbird,2,1996,1996-12-31,Dec
American Pipit,2,1996,1996-12-31,Dec
Orange-crowned Warbler,4,1996,1996-12-31,Dec
Yellow Warbler,45,1996,1996-12-31,Dec
Common Yellowthroat,2,1996,1996-12-31,Dec
Spotted Towhee,1,1996,1996-12-31,Dec
California Towhee,5,1996,1996-12-31,Dec
Fox Sparrow,3,1996,1996-12-31,Dec
Song Sparrow,7,1996,1996-12-31,Dec
Lincoln's Sparrow,1,1996,1996-12-31,Dec
White-crowned Sparrow,4,1996,1996-12-31,Dec
Golden-crowned Sparrow,23,1996,1996-12-31,Dec
Baltimore Oriole,1,1996,1996-12-31,Dec
House Finch,40,1996,1996-12-31,Dec
American Wigeon,0,1997,1997-01-24,Jan
Mallard,0,1997,1997-01-24,Jan
Redhead,0,1997,1997-01-24,Jan
Ring-necked Duck,0,1997,1997-01-24,Jan
Lesser Scaup,0,1997,1997-01-24,Jan
Red-breasted Merganser,0,1997,1997-01-24,Jan
Red-breasted Merganser,1,1997,1997-01-24,Jan
Ruddy Duck,0,1997,1997-01-24,Jan
Pied-billed Grebe,0,1997,1997-01-24,Jan
Pied-billed Grebe,0,1997,1997-01-24,Jan
Horned Grebe,0,1997,1997-01-24,Jan
Eared Grebe,0,1997,1997-01-24,Jan
Western Grebe,0,1997,1997-01-24,Jan
Clark's Grebe,0,1997,1997-01-24,Jan
Brown Pelican,0,1997,1997-01-24,Jan
Double-crested Cormorant,3,1997,1997-01-24,Jan
Great Blue Heron,3,1997,1997-01-24,Jan
Great Egret,1,1997,1997-01-24,Jan
Snowy Egret,0,1997,1997-01-24,Jan
Green Heron,0,1997,1997-01-24,Jan
Black-crowned Night Heron,1,1997,1997-01-24,Jan
White-faced Ibis,0,1997,1997-01-24,Jan
Sharp-shinned Hawk,1,1997,1997-01-24,Jan
Red-shouldered Hawk,0,1997,1997-01-24,Jan
Red-tailed Hawk,0,1997,1997-01-24,Jan
American Kestrel,1,1997,1997-01-24,Jan
American Coot,0,1997,1997-01-24,Jan
Black-bellied Plover,0,1997,1997-01-24,Jan
Killdeer,0,1997,1997-01-24,Jan
Willet,0,1997,1997-01-24,Jan
Sanderling,33,1997,1997-01-24,Jan
Ring-billed Gull,0,1997,1997-01-24,Jan
California Gull,0,1997,1997-01-24,Jan
Western Gull,0,1997,1997-01-24,Jan
Forster's Tern,0,1997,1997-01-24,Jan
Anna's Hummingbird,6,1997,1997-01-24,Jan
Belted Kingfisher,0,1997,1997-01-24,Jan
Downy Woodpecker,1,1997,1997-01-24,Jan
Black Phoebe,3,1997,1997-01-24,Jan
Say's Phoebe,1,1997,1997-01-24,Jan
Loggerhead Shrike,1,1997,1997-01-24,Jan
Western Scrub-Jay,1,1997,1997-01-24,Jan
American Crow,23,1997,1997-01-24,Jan
Bushtit,10,1997,1997-01-24,Jan
Bewick's Wren,4,1997,1997-01-24,Jan
Northern Mockingbird,2,1997,1997-01-24,Jan
Yellow-rumped Warbler,9,1997,1997-01-24,Jan
Common Yellowthroat,1,1997,1997-01-24,Jan
California Towhee,6,1997,1997-01-24,Jan
Song Sparrow,17,1997,1997-01-24,Jan
White-crowned Sparrow,19,1997,1997-01-24,Jan
House Finch,7,1997,1997-01-24,Jan
Black-bellied Plover,0,1997,1997-04-25,Apr
Semipalmated Plover,0,1997,1997-04-25,Apr
Whimbrel,0,1997,1997-04-25,Apr
Western Sandpiper,0,1997,1997-04-25,Apr
Least Sandpiper,0,1997,1997-04-25,Apr
Dunlin,0,1997,1997-04-25,Apr
Short-eared Owl,0,1997,1997-04-25,Apr
Brown Pelican,0,1997,1997-09-13,Sep
Black-bellied Plover,0,1997,1997-09-13,Sep
Greater Yellowlegs,0,1997,1997-09-13,Sep
Whimbrel,0,1997,1997-09-13,Sep
Royal Tern,0,1997,1997-09-13,Sep
Elegant Tern,0,1997,1997-09-13,Sep
Common Tern,0,1997,1997-09-13,Sep
Forster's Tern,0,1997,1997-09-13,Sep
Belted Kingfisher,0,1997,1997-09-13,Sep
Beldingês Savannah Sparrow,0,1997,1997-09-13,Sep
Willet,0,1997,1997-09-13,Sep
Mallard,0,1997,1997-10-08,Oct
Ruddy Duck,0,1997,1997-10-08,Oct
Pied-billed Grebe,0,1997,1997-10-08,Oct
Eared Grebe,0,1997,1997-10-08,Oct
Brown Pelican,1,1997,1997-10-08,Oct
Double-crested Cormorant,36,1997,1997-10-08,Oct
Great Blue Heron,0,1997,1997-10-08,Oct
Great Egret,6,1997,1997-10-08,Oct
Snowy Egret,2,1997,1997-10-08,Oct
Black-crowned Night Heron,3,1997,1997-10-08,Oct
American Coot,0,1997,1997-10-08,Oct
Killdeer,0,1997,1997-10-08,Oct
Greater Yellowlegs,0,1997,1997-10-08,Oct
Willet,0,1997,1997-10-08,Oct
Sanderling,0,1997,1997-10-08,Oct
Dunlin,0,1997,1997-10-08,Oct
Red-necked Phalarope,0,1997,1997-10-08,Oct
Heermann's Gull,0,1997,1997-10-08,Oct
Ring-billed Gull,0,1997,1997-10-08,Oct
California Gull,0,1997,1997-10-08,Oct
Western Gull,2,1997,1997-10-08,Oct
Elegant Tern,0,1997,1997-10-08,Oct
Common Tern,0,1997,1997-10-08,Oct
Forster's Tern,0,1997,1997-10-08,Oct
Mourning Dove,1,1997,1997-10-08,Oct
Anna's Hummingbird,6,1997,1997-10-08,Oct
Belted Kingfisher,2,1997,1997-10-08,Oct
Black Phoebe,2,1997,1997-10-08,Oct
Say's Phoebe,1,1997,1997-10-08,Oct
Loggerhead Shrike,2,1997,1997-10-08,Oct
American Crow,9,1997,1997-10-08,Oct
Violet-green Swallow,0,1997,1997-10-08,Oct
Bewick's Wren,0,1997,1997-10-08,Oct
Northern Mockingbird,2,1997,1997-10-08,Oct
Orange-crowned Warbler,1,1997,1997-10-08,Oct
Yellow-rumped Warbler,15,1997,1997-10-08,Oct
Common Yellowthroat,4,1997,1997-10-08,Oct
California Towhee,1,1997,1997-10-08,Oct
Beldingês Savannah Sparrow,0,1997,1997-10-08,Oct
Song Sparrow,0,1997,1997-10-08,Oct
Lincoln's Sparrow,2,1997,1997-10-08,Oct
White-crowned Sparrow,12,1997,1997-10-08,Oct
Western Meadowlark,0,1997,1997-10-08,Oct
House Finch,115,1997,1997-10-08,Oct
Lesser Goldfinch,3,1997,1997-10-08,Oct
American Wigeon,0,1997,1997-12-19,Dec
Mallard,0,1997,1997-12-19,Dec
Redhead,0,1997,1997-12-19,Dec
Lesser Scaup,0,1997,1997-12-19,Dec
Bufflehead,0,1997,1997-12-19,Dec
Red-breasted Merganser,0,1997,1997-12-19,Dec
Ruddy Duck,0,1997,1997-12-19,Dec
Pied-billed Grebe,0,1997,1997-12-19,Dec
Horned Grebe,0,1997,1997-12-19,Dec
Eared Grebe,0,1997,1997-12-19,Dec
Western Grebe,0,1997,1997-12-19,Dec
Brown Pelican,2,1997,1997-12-19,Dec
Double-crested Cormorant,22,1997,1997-12-19,Dec
Great Blue Heron,0,1997,1997-12-19,Dec
Great Egret,0,1997,1997-12-19,Dec
Snowy Egret,0,1997,1997-12-19,Dec
Black-crowned Night Heron,2,1997,1997-12-19,Dec
Red-tailed Hawk,1,1997,1997-12-19,Dec
American Kestrel,1,1997,1997-12-19,Dec
American Coot,0,1997,1997-12-19,Dec
Greater Yellowlegs,0,1997,1997-12-19,Dec
Willet,0,1997,1997-12-19,Dec
Ruddy Turnstone,0,1997,1997-12-19,Dec
Black Turnstone,0,1997,1997-12-19,Dec
Sanderling,0,1997,1997-12-19,Dec
Long-billed Dowitcher,0,1997,1997-12-19,Dec
Heermann's Gull,0,1997,1997-12-19,Dec
Mew Gull,0,1997,1997-12-19,Dec
Ring-billed Gull,0,1997,1997-12-19,Dec
California Gull,0,1997,1997-12-19,Dec
Western Gull,1,1997,1997-12-19,Dec
Forster's Tern,0,1997,1997-12-19,Dec
Rock Dove,0,1997,1997-12-19,Dec
Anna's Hummingbird,4,1997,1997-12-19,Dec
Belted Kingfisher,0,1997,1997-12-19,Dec
Black Phoebe,6,1997,1997-12-19,Dec
Say's Phoebe,1,1997,1997-12-19,Dec
Loggerhead Shrike,1,1997,1997-12-19,Dec
Western Scrub-Jay,1,1997,1997-12-19,Dec
American Crow,24,1997,1997-12-19,Dec
Bewick's Wren,3,1997,1997-12-19,Dec
House Wren,2,1997,1997-12-19,Dec
Northern Mockingbird,1,1997,1997-12-19,Dec
European Starling,0,1997,1997-12-19,Dec
American Pipit,2,1997,1997-12-19,Dec
Yellow-rumped Warbler,15,1997,1997-12-19,Dec
Townsend's Warbler,0,1997,1997-12-19,Dec
Common Yellowthroat,5,1997,1997-12-19,Dec
California Towhee,2,1997,1997-12-19,Dec
Song Sparrow,4,1997,1997-12-19,Dec
Lincoln's Sparrow,1,1997,1997-12-19,Dec
White-crowned Sparrow,29,1997,1997-12-19,Dec
Golden-crowned Sparrow,5,1997,1997-12-19,Dec
Bullock's Oriole,1,1997,1997-12-19,Dec
House Finch,93,1997,1997-12-19,Dec
Lesser Goldfinch,0,1997,1997-12-19,Dec
Gadwall,0,1998,1998-03-13,Mar
American Wigeon,0,1998,1998-03-13,Mar
Mallard,0,1998,1998-03-13,Mar
Redhead,0,1998,1998-03-13,Mar
Lesser Scaup,0,1998,1998-03-13,Mar
Bufflehead,0,1998,1998-03-13,Mar
Red-breasted Merganser,0,1998,1998-03-13,Mar
Ruddy Duck,0,1998,1998-03-13,Mar
Red-throated Loon,0,1998,1998-03-13,Mar
Pied-billed Grebe,0,1998,1998-03-13,Mar
Eared Grebe,0,1998,1998-03-13,Mar
Brown Pelican,0,1998,1998-03-13,Mar
Brandt's Cormorant,0,1998,1998-03-13,Mar
Double-crested Cormorant,25,1998,1998-03-13,Mar
Great Blue Heron,2,1998,1998-03-13,Mar
Great Egret,1,1998,1998-03-13,Mar
Snowy Egret,1,1998,1998-03-13,Mar
Black-crowned Night Heron,4,1998,1998-03-13,Mar
Red-tailed Hawk,1,1998,1998-03-13,Mar
American Coot,0,1998,1998-03-13,Mar
Killdeer,0,1998,1998-03-13,Mar
Killdeer,0,1998,1998-03-13,Mar
Willet,1,1998,1998-03-13,Mar
Whimbrel,0,1998,1998-03-13,Mar
Marbled Godwit,0,1998,1998-03-13,Mar
Black Turnstone,0,1998,1998-03-13,Mar
Surfbird,0,1998,1998-03-13,Mar
Least Sandpiper,0,1998,1998-03-13,Mar
Long-billed Dowitcher,0,1998,1998-03-13,Mar
Bonaparte's Gull,0,1998,1998-03-13,Mar
Heermann's Gull,0,1998,1998-03-13,Mar
Mew Gull,0,1998,1998-03-13,Mar
Ring-billed Gull,0,1998,1998-03-13,Mar
California Gull,0,1998,1998-03-13,Mar
Western Gull,0,1998,1998-03-13,Mar
Royal Tern,0,1998,1998-03-13,Mar
Forster's Tern,0,1998,1998-03-13,Mar
Rock Dove,0,1998,1998-03-13,Mar
Mourning Dove,5,1998,1998-03-13,Mar
Anna's Hummingbird,13,1998,1998-03-13,Mar
Belted Kingfisher,1,1998,1998-03-13,Mar
Black Phoebe,1,1998,1998-03-13,Mar
Cassin's Kingbird,4,1998,1998-03-13,Mar
Western Scrub-Jay,1,1998,1998-03-13,Mar
American Crow,13,1998,1998-03-13,Mar
Tree Swallow,0,1998,1998-03-13,Mar
Tree Swallow,20,1998,1998-03-13,Mar
Violet-green Swallow,0,1998,1998-03-13,Mar
Northern Rough-winged Swallow,8,1998,1998-03-13,Mar
Northern Rough-winged Swallow,0,1998,1998-03-13,Mar
Bushtit,4,1998,1998-03-13,Mar
Bewick's Wren,3,1998,1998-03-13,Mar
House Wren,3,1998,1998-03-13,Mar
Blue-gray Gnatcatcher,2,1998,1998-03-13,Mar
Northern Mockingbird,4,1998,1998-03-13,Mar
European Starling,0,1998,1998-03-13,Mar
American Pipit,0,1998,1998-03-13,Mar
Orange-crowned Warbler,1,1998,1998-03-13,Mar
Yellow-rumped Warbler,9,1998,1998-03-13,Mar
Common Yellowthroat,9,1998,1998-03-13,Mar
California Towhee,5,1998,1998-03-13,Mar
Savannah Sparrow,6,1998,1998-03-13,Mar
Song Sparrow,16,1998,1998-03-13,Mar
Lincoln's Sparrow,1,1998,1998-03-13,Mar
White-crowned Sparrow,30,1998,1998-03-13,Mar
Golden-crowned Sparrow,7,1998,1998-03-13,Mar
Red-winged Blackbird,1,1998,1998-03-13,Mar
Baltimore Oriole,0,1998,1998-03-13,Mar
House Finch,74,1998,1998-03-13,Mar
Mallard,0,1998,1998-06-30,Jun
Pied-billed Grebe,0,1998,1998-06-30,Jun
Brown Pelican,0,1998,1998-06-30,Jun
Double-crested Cormorant,13,1998,1998-06-30,Jun
Great Blue Heron,0,1998,1998-06-30,Jun
Snowy Egret,0,1998,1998-06-30,Jun
Green Heron,0,1998,1998-06-30,Jun
Black-crowned Night Heron,0,1998,1998-06-30,Jun
Red-shouldered Hawk,1,1998,1998-06-30,Jun
American Kestrel,0,1998,1998-06-30,Jun
Killdeer,0,1998,1998-06-30,Jun
Whimbrel,0,1998,1998-06-30,Jun
Marbled Godwit,0,1998,1998-06-30,Jun
Heermann's Gull,0,1998,1998-06-30,Jun
California Gull,0,1998,1998-06-30,Jun
Western Gull,0,1998,1998-06-30,Jun
Mourning Dove,0,1998,1998-06-30,Jun
Anna's Hummingbird,1,1998,1998-06-30,Jun
Allen's Hummingbird,0,1998,1998-06-30,Jun
Allen's Hummingbird,0,1998,1998-06-30,Jun
Downy Woodpecker,1,1998,1998-06-30,Jun
Downy Woodpecker,0,1998,1998-06-30,Jun
Black Phoebe,1,1998,1998-06-30,Jun
Western Scrub-Jay,0,1998,1998-06-30,Jun
American Crow,1,1998,1998-06-30,Jun
Northern Rough-winged Swallow,13,1998,1998-06-30,Jun
Cliff Swallow,1,1998,1998-06-30,Jun
Bushtit,0,1998,1998-06-30,Jun
Bewick's Wren,0,1998,1998-06-30,Jun
Northern Mockingbird,3,1998,1998-06-30,Jun
European Starling,0,1998,1998-06-30,Jun
Common Yellowthroat,2,1998,1998-06-30,Jun
California Towhee,6,1998,1998-06-30,Jun
Song Sparrow,1,1998,1998-06-30,Jun
Hooded Oriole,1,1998,1998-06-30,Jun
House Finch,24,1998,1998-06-30,Jun
Mallard,2,1998,1998-09-28,Sep
Pied-billed Grebe,0,1998,1998-09-28,Sep
Horned Grebe,0,1998,1998-09-28,Sep
Western Grebe,0,1998,1998-09-28,Sep
Brown Pelican,1,1998,1998-09-28,Sep
Double-crested Cormorant,57,1998,1998-09-28,Sep
Great Blue Heron,1,1998,1998-09-28,Sep
Great Egret,0,1998,1998-09-28,Sep
Snowy Egret,0,1998,1998-09-28,Sep
Green Heron,1,1998,1998-09-28,Sep
Black-crowned Night Heron,1,1998,1998-09-28,Sep
Osprey,1,1998,1998-09-28,Sep
American Coot,0,1998,1998-09-28,Sep
Black-bellied Plover,0,1998,1998-09-28,Sep
Killdeer,0,1998,1998-09-28,Sep
Greater Yellowlegs,2,1998,1998-09-28,Sep
Willet,0,1998,1998-09-28,Sep
Wandering Tattler,0,1998,1998-09-28,Sep
Marbled Godwit,0,1998,1998-09-28,Sep
Sanderling,0,1998,1998-09-28,Sep
Heermann's Gull,0,1998,1998-09-28,Sep
Ring-billed Gull,0,1998,1998-09-28,Sep
Western Gull,0,1998,1998-09-28,Sep
Common Tern,0,1998,1998-09-28,Sep
Forster's Tern,0,1998,1998-09-28,Sep
Black Skimmer,1,1998,1998-09-28,Sep
Mourning Dove,1,1998,1998-09-28,Sep
Vauxês Swift,0,1998,1998-09-28,Sep
Anna's Hummingbird,2,1998,1998-09-28,Sep
Belted Kingfisher,1,1998,1998-09-28,Sep
Downy Woodpecker,1,1998,1998-09-28,Sep
Hairy Woodpecker,0,1998,1998-09-28,Sep
Black Phoebe,4,1998,1998-09-28,Sep
Loggerhead Shrike,1,1998,1998-09-28,Sep
American Crow,10,1998,1998-09-28,Sep
Barn Swallow,6,1998,1998-09-28,Sep
Bushtit,0,1998,1998-09-28,Sep
Red-breasted Nuthatch,0,1998,1998-09-28,Sep
Bewick's Wren,1,1998,1998-09-28,Sep
House Wren,0,1998,1998-09-28,Sep
Northern Mockingbird,0,1998,1998-09-28,Sep
European Starling,0,1998,1998-09-28,Sep
American Pipit,0,1998,1998-09-28,Sep
Yellow Warbler,1,1998,1998-09-28,Sep
Common Yellowthroat,7,1998,1998-09-28,Sep
Western Tanager,0,1998,1998-09-28,Sep
California Towhee,5,1998,1998-09-28,Sep
Savannah Sparrow,0,1998,1998-09-28,Sep
Song Sparrow,2,1998,1998-09-28,Sep
White-crowned Sparrow,11,1998,1998-09-28,Sep
Yellow-headed Blackbird,0,1998,1998-09-28,Sep
Brewer's Blackbird,0,1998,1998-09-28,Sep
House Finch,85,1998,1998-09-28,Sep
Rock Dove,0,1999,1999-02-25,Feb
Anna's Hummingbird,0,1999,1999-02-25,Feb
Bushtit,0,1999,1999-02-25,Feb
Northern Mockingbird,0,1999,1999-02-25,Feb
Yellow-rumped Warbler,0,1999,1999-02-25,Feb
Townsend's Warbler,0,1999,1999-02-25,Feb
Common Yellowthroat,0,1999,1999-02-25,Feb
Song Sparrow,0,1999,1999-02-25,Feb
House Finch,0,1999,1999-02-25,Feb
Mallard,0,1999,1999-03-05,Mar
Red-breasted Merganser,0,1999,1999-03-05,Mar
Ruddy Duck,0,1999,1999-03-05,Mar
Pied-billed Grebe,0,1999,1999-03-05,Mar
Brown Pelican,0,1999,1999-03-05,Mar
Double-crested Cormorant,68,1999,1999-03-05,Mar
Great Egret,0,1999,1999-03-05,Mar
Snowy Egret,0,1999,1999-03-05,Mar
Black-crowned Night Heron,0,1999,1999-03-05,Mar
White-tailed Kite,1,1999,1999-03-05,Mar
Red-shouldered Hawk,1,1999,1999-03-05,Mar
American Kestrel,1,1999,1999-03-05,Mar
American Coot,10,1999,1999-03-05,Mar
Black-bellied Plover,0,1999,1999-03-05,Mar
Willet,0,1999,1999-03-05,Mar
Whimbrel,0,1999,1999-03-05,Mar
Marbled Godwit,0,1999,1999-03-05,Mar
Least Sandpiper,0,1999,1999-03-05,Mar
Long-billed Dowitcher,0,1999,1999-03-05,Mar
Heermann's Gull,0,1999,1999-03-05,Mar
Mew Gull,0,1999,1999-03-05,Mar
Ring-billed Gull,0,1999,1999-03-05,Mar
California Gull,0,1999,1999-03-05,Mar
Western Gull,0,1999,1999-03-05,Mar
Rock Dove,0,1999,1999-03-05,Mar
Mourning Dove,0,1999,1999-03-05,Mar
Anna's Hummingbird,7,1999,1999-03-05,Mar
Black Phoebe,3,1999,1999-03-05,Mar
Western Scrub-Jay,1,1999,1999-03-05,Mar
American Crow,4,1999,1999-03-05,Mar
Northern Rough-winged Swallow,2,1999,1999-03-05,Mar
Bushtit,2,1999,1999-03-05,Mar
Bewick's Wren,0,1999,1999-03-05,Mar
House Wren,1,1999,1999-03-05,Mar
Blue-gray Gnatcatcher,0,1999,1999-03-05,Mar
Northern Mockingbird,0,1999,1999-03-05,Mar
European Starling,0,1999,1999-03-05,Mar
Orange-crowned Warbler,1,1999,1999-03-05,Mar
Yellow-rumped Warbler,10,1999,1999-03-05,Mar
Townsend's Warbler,0,1999,1999-03-05,Mar
Common Yellowthroat,7,1999,1999-03-05,Mar
California Towhee,11,1999,1999-03-05,Mar
Song Sparrow,6,1999,1999-03-05,Mar
Lincoln's Sparrow,1,1999,1999-03-05,Mar
White-crowned Sparrow,6,1999,1999-03-05,Mar
Golden-crowned Sparrow,12,1999,1999-03-05,Mar
House Finch,16,1999,1999-03-05,Mar
Mallard,0,1999,1999-04-27,Apr
Ruddy Duck,0,1999,1999-04-27,Apr
Pied-billed Grebe,0,1999,1999-04-27,Apr
Western Grebe,0,1999,1999-04-27,Apr
Double-crested Cormorant,12,1999,1999-04-27,Apr
Great Blue Heron,0,1999,1999-04-27,Apr
Snowy Egret,0,1999,1999-04-27,Apr
American Coot,0,1999,1999-04-27,Apr
Black-bellied Plover,0,1999,1999-04-27,Apr
Semipalmated Plover,0,1999,1999-04-27,Apr
Willet,0,1999,1999-04-27,Apr
Whimbrel,1,1999,1999-04-27,Apr
Surfbird,0,1999,1999-04-27,Apr
Sanderling,0,1999,1999-04-27,Apr
Western Sandpiper,0,1999,1999-04-27,Apr
Least Sandpiper,0,1999,1999-04-27,Apr
Long-billed Dowitcher,0,1999,1999-04-27,Apr
Western Gull,0,1999,1999-04-27,Apr
Mourning Dove,2,1999,1999-04-27,Apr
Anna's Hummingbird,3,1999,1999-04-27,Apr
Allen's Hummingbird,2,1999,1999-04-27,Apr
Belted Kingfisher,0,1999,1999-04-27,Apr
Downy Woodpecker,0,1999,1999-04-27,Apr
Black Phoebe,1,1999,1999-04-27,Apr
Say's Phoebe,2,1999,1999-04-27,Apr
Western Scrub-Jay,0,1999,1999-04-27,Apr
American Crow,2,1999,1999-04-27,Apr
Cliff Swallow,0,1999,1999-04-27,Apr
Bushtit,0,1999,1999-04-27,Apr
Red-breasted Nuthatch,0,1999,1999-04-27,Apr
Northern Mockingbird,1,1999,1999-04-27,Apr
Cedar Waxwing,15,1999,1999-04-27,Apr
