Species,UCEN Restoration Site (RS),Northern Eucs- above road (NE),NE Road Margin (RM),Commencement Green (CG),North Margin Zone General,North Margin Zone Summary,West Lagoon Proper (LW),Mid Lagoon Proper (LM),East Lagoon Proper (LE),Lagoon Proper General,Lagoon Zone Summary,Zone 3- below road (Z3) ,Zone 2- above road (Z2) ,Zone 1 (Z1) ,Oak Grove/Basin 6 (OG),West Lagoon Park General,West Lagoon Park Summary,West Depressions (WD),East Depressions (ED),Beach (BE),South Beach Zone General,South Beach Zone Summary,Quarry Enhancement Site (QE),Lagoon Island South (IS),Lagoon Island North (IN),Lagoon Island Zone General,Lagoon Island Zone Summary,CP Mesa Top (CP),CP Wetland Edge (WE),CP Outcrop (OC),Campus Point Zone General,Campus Point Zone Summary,Beach Side (BS),Lagoon Side (LS),Pearl Chase Garden (PC),East Margin Zone General,East Margin Zone Summary,Lagoo Management Non-specific,Fieldnote Summary #'s,Lagoon Management Area Totals,Songs/Males Counted,Females Counted,Juveniles Counted,Species Notes,Breeding Evidence Yes or Blank,Presences Only (Yes or Blank),Day,Month,Year,month num,Date,seasonnum,Time Start, Time End,Temp Start (F),Wind Start (0-3),Wind Direction Start,Cloud Cover % Start,Cloud Height Start,Rain (0-5) Start,Temp End (F),Wind End (0-3),Wind Direction End,Cloud Cover % End,Cloud Height End,Rain End (0-5), Weather Note,  Nearest Tide Time, Nearest Tide Height (ft), Nearest Tide High/Low?,Observer,Survey Coverage Notes,(1-Single   2-Partial Survey   3-Complete Survey   4-Roost Survey  5-Nest Search),Taxinomic #
White-tailed Kite,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,110
Peregrine Falcon,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,128
Wandering Tattler,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,2,,2,,,,,0,,,2,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,155
Black Turnstone,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,3,,3,,,,,0,,,3,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,163
Least Sandpiper,3,,,,,3,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,170
Ring-billed Gull,,,,,,0,,,,6,6,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,6,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,196
Dowitcher sp.,3,,,,,3,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,1,,3,,,,,,,30,September,1996,9,30-Sep-96,4,830,1050,55,0,,100,1,0,,,,,,,,,,,"D. Kisner, B. Semmel, and 12 Zoology 133 students ",,,#N/A
Mallard,,,,,,0,,,,4,4,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,16
Redhead,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,25
Ruddy Duck,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,41
Pied-billed Grebe,,,,,,0,,,,10,10,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,10,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,50
Brown Pelican,,,,,,0,,,,10,10,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,10,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,88
Double-crested Cormorant,,,,,,0,,,,70,70,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,70,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,90
Great Blue Heron,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,95
Great Egret,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,96
Snowy Egret,,,,,,0,,,,4,4,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,97
Black-crowned Night Heron,,,,,,0,,,,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,103
Red-shouldered Hawk,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,117
American Coot,,,,,,0,,,,75,75,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,75,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,136
Long-billed Dowitcher,,,,,,0,,,,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,180
Parasitic Jaeger,,,,,,0,,,1,,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,description in fieldnotes,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,187
Bonaparte's Gull,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,193
Western Gull,,,,,,0,,,,6,6,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,6,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,201
Common Tern,,,,,,0,,2,,,2,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,210
Forster's Tern,,,,,,0,,15,,,15,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,15,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,213
Anna's Hummingbird,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,259
Belted Kingfisher,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,2,2,,,,,0,,,,,0,,,4,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,266
Downy Woodpecker,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,2,2,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,275
Black Phoebe,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,2,2,,,,,0,,,,,0,,,2,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,290
Tropical Kingbird,,,,,,0,,,,,0,,,,,,0,,,,,0,,,1,,1,,,,,0,,,,,0,,,1,,,,description in fieldnotes,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,299
American Crow,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,6,6,,,,,0,,,,,0,,,6,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,323
Bushtit,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,337
Bewick's Wren,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,344
California Towhee,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,3,3,,,,,0,,,,,0,,,3,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,425
White-crowned Sparrow,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,4,4,,,,,0,,,,,0,,,4,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,448
Golden-crowned Sparrow,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,3,3,,,,,0,,,,,0,,,3,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,449
House Finch,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,10,10,,,,,0,,,,,0,,,10,,,,,,,29,October,1996,10,29-Oct-96,4,800,910,,,,,,1,,,,,,,,,,,"MAH, Kevin Knight, Melissa Gates, Cyndy Shafer","Lagoon Island, mid and east lagoon only ",2,479
American Wigeon,,,,,,0,,,,4,4,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,15
Mallard,,,,,,0,,,,5,5,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,5,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,16
Ring-necked Duck,,,,,,0,,,,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,26
Lesser Scaup,,,,,,0,,,,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,29
Red-breasted Merganser ,,,,,,0,,,,,0,,,,,1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,40
Red-breasted Merganser ,,,,,,0,,,,19,19,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,19,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,40
Pied-billed Grebe,,,,,,0,,,,19,19,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,19,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,50
Horned Grebe,,,,,,0,,,,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,51
Eared Grebe,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,53
Western Grebe,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,54
Brown Pelican,,,,,,0,,,,23,23,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,23,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,88
Double-crested Cormorant,,5,,,,5,,,,69,69,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,74,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,90
Great Blue Heron,,,,,,0,,,,2,2,,,,,1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,95
Great Egret,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,96
Snowy Egret,,,,,,0,,,,10,10,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,10,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,97
Green Heron,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,102
Black-crowned Night Heron,,,,,,0,,,,2,2,,,,,3,3,,,,,0,,,,,0,,,,,0,,,,,0,,,5,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,103
White-faced Ibis,,,,,,0,,,,1,1,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,1,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,104
Red-shouldered Hawk,,,,,,0,,,,,0,,,,,2,2,,,,,0,,,,,0,,,,,0,,,,,0,,,2,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,117
American Kestrel,,,,,,0,,,,,0,,,,,1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,126
American Coot,,,,,,0,,,,123,123,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,123,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,136
Black-bellied Plover,,,,,,0,,,,1,1,,,,,,0,,,,2,2,,,,,0,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,138
Killdeer,,,,,,0,,,,11,11,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,11,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,145
Greater Yellowlegs,,,,,,0,,,,4,4,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,150
Willet,,,,,,0,,,,4,4,,,,,,0,,,,4,4,,,,,0,,,,,0,,,,,0,,,8,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,154
Sanderling,,,,,,0,,,,,0,,,,,,0,,,,18,18,,,,,0,,,,,0,,,,,0,,,18,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,166
Long-billed Dowitcher,,,,,,0,,,,4,4,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,4,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,180
Bonaparte's Gull,,,,,,0,,,,30,30,,,,,1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,31,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,193
Ring-billed Gull,,,,,,0,,,,18,18,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,18,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,196
California Gull,,,,,,0,,,,28,28,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,28,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,197
Western Gull,,,,,,0,,,,44,44,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,44,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,201
Forster's Tern,,,,,,0,,,,3,3,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,213
Anna's Hummingbird,,4,,,,4,,,,,0,,,,,6,6,,,,,0,,,,3,3,,,,1,1,,,,,0,,,14,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,259
Belted Kingfisher,,,,,,0,,,,2,2,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,266
Downy Woodpecker,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,275
Black Phoebe,,1,,,,1,,,,,0,,,,,,0,,,,,0,,,,6,6,,,,2,2,,,,,0,,,9,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,290
Say's Phoebe,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,292
Loggerhead Shrike,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,304
Western Scrub-Jay,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,319
American Crow,,,,,,0,,,,9,9,,,,,,0,,,,,0,,,,5,5,,,,,0,,,,,0,,,14,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,323
Bushtit,,,,,,0,,,,,0,,,,,6,6,,,,,0,,,,13,13,,,,,0,,,,,0,,,19,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,337
Bewick's Wren,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,344
House Wren,,,,,,0,,,,,0,,,,,1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,345
Ruby-crowned Kinglet,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,351
Hermit Thrush,,,,,,0,,,,,0,,,,,1,1,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,358
Northern Mockingbird,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,364
Yellow-rumped Warbler,,9,,,,9,,,,,0,,,,,1,1,,,,,0,,,,12,12,,,,,0,,,,,0,,,22,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,389
Townsend's Warbler,,1,,,,1,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,392
Common Yellowthroat,,,,,,0,,,,,0,,,,,,0,,,,,0,,,,1,1,,,,,0,,,,,0,,,1,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,413
California Towhee,,,,,,0,,,,,0,,,,,1,1,,,,,0,,,,2,2,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,425
Song Sparrow,,1,,,,1,,,,,0,,,,,,0,,,,,0,,,,2,2,,,,,0,,,,,0,,,3,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,443
White-crowned Sparrow,,1,,,,1,,,,,0,,,,,,0,,,,,0,,,,6,6,,,,6,6,,,,,0,,,13,,,,,,,15,November,1996,11,15-Nov-96,4,945,1100,,,,,,,,,,,,,,,,,"MAH, Tascha Crews, DAK, Cyndy Shafer, John Gallo",,2,448
